,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-41728006.748931,-63819520.14808,-72542383.86833,-44137774.290276
Tax Rate For Calcs,0.257115,0.253198,0.249874,0.269056
Total Unusual Items,-162293000.0,-252054000.0,-290316000.0,-164047000.0
Total Unusual Items Excluding Goodwill,-162293000.0,-252054000.0,-290316000.0,-164047000.0
Net Income From Continuing Operation Net Minority Interest,775613371000.0,670846661000.0,556481728000.0,353738798000.0
Reconciled Depreciation,39914767000.0,38491245000.0,36955986000.0,36912700000.0
Net Interest Income,1899944498000.0,1794524642000.0,1608637634000.0,1337783419000.0
Interest Expense,3009433353000.0,2597360481000.0,1899808167000.0,1561943441000.0
Interest Income,4909377851000.0,4391885123000.0,3508445801000.0,2899726860000.0
Normalized Income,775733935993.2511,671034895479.8519,556699501616.1317,353858707225.7097
Net Income From Continuing And Discontinued Operation,775613371000.0,670846661000.0,556481728000.0,353738798000.0
Diluted Average Shares,8924617147.0,8924611934.0,8924611707.0,8924611534.0
Basic Average Shares,8924617147.0,8924611934.0,8924611707.0,8924611534.0
Diluted EPS,86.91,75.17,62.35,39.64
Basic EPS,86.91,75.17,62.35,39.64
Diluted NI Availto Com Stockholders,775613371000.0,670846661000.0,556481728000.0,353738798000.0
Net Income Common Stockholders,775613371000.0,670846661000.0,556481728000.0,353738798000.0
Net Income,775613371000.0,670846661000.0,556481728000.0,353738798000.0
Minority Interests,-29612882000.0,-24587491000.0,-21017092000.0,-18093049000.0
Net Income Including Noncontrolling Interests,805226244000.0,695434219000.0,577498807000.0,371831831000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,805226244000.0,695434219000.0,577498807000.0,371831831000.0
Tax Provision,273481400000.0,231017800000.0,188401300000.0,133824600000.0
Pretax Income,1063652935000.0,912400476000.0,753985586000.0,497386298000.0
Special Income Charges,-162293000.0,-252054000.0,-290316000.0,-164047000.0
Other Special Charges,162293000.0,252054000.0,290316000.0,164047000.0
Gain On Sale Of Security,174590223000.0,137828728000.0,2354761000.0,59299092000.0
Operating Expense,2328766437000.0,2288145880000.0,1861696085000.0,1741951087000.0
Other Operating Expenses,1388581760000.0,1249209939000.0,1048756338000.0,951121170000.0
Depreciation And Amortization In Income Statement,39914767000.0,38491245000.0,36955986000.0,36912700000.0
Depreciation Income Statement,39914767000.0,38491245000.0,36955986000.0,36912700000.0
Selling General And Administration,47839189000.0,44226864000.0,42205328000.0,34260654000.0
Selling And Marketing Expense,37419792000.0,34490995000.0,34192691000.0,26939263000.0
General And Administrative Expense,10419397000.0,9735869000.0,8012637000.0,7321391000.0
Insurance And Claims,80395723000.0,53890101000.0,53406901000.0,47999654000.0
Rent And Landing Fees,67925712000.0,65461669000.0,61030583000.0,57077368000.0
Total Revenue,3495234156000.0,3236135037000.0,2703369068000.0,2360910738000.0
Operating Revenue,3495234156000.0,3236135037000.0,2703369068000.0,2360910738000.0
