,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,234339615.747446,95851424.913301,88491501.703716,-145824810.021687
Tax Rate For Calcs,0.229183,0.232086,0.233179,0.23202
Normalized EBITDA,27481300000.0,28268300000.0,25608300000.0,25315900000.0
Total Unusual Items,1022500000.0,413000000.0,379500000.0,221500000.0
Total Unusual Items Excluding Goodwill,1022500000.0,413000000.0,379500000.0,-628500000.0
Net Income From Continuing Operation Net Minority Interest,17676300000.0,18426800000.0,17071500000.0,17392200000.0
Reconciled Depreciation,4456000000.0,3992100000.0,3109600000.0,2528900000.0
Reconciled Cost Of Revenue,65834900000.0,64964100000.0,63160900000.0,56766400000.0
EBITDA,28503800000.0,28681300000.0,25987800000.0,25537400000.0
EBIT,24047800000.0,24689200000.0,22878200000.0,23008500000.0
Net Interest Income,2446500000.0,2689200000.0,2828900000.0,2847400000.0
Interest Expense,1468900000.0,1101800000.0,691400000.0,321700000.0
Interest Income,4081500000.0,3931000000.0,3611300000.0,3233400000.0
Normalized Income,16888139615.747446,18109651424.9133,16780491501.703716,18724875189.978313
Net Income From Continuing And Discontinued Operation,17676300000.0,18426800000.0,17071500000.0,17392200000.0
Total Expenses,105161000000.0,102428900000.0,95580000000.0,87934200000.0
Rent Expense Supplemental,619700000.0,583400000.0,608600000.0,517800000.0
Diluted Average Shares,1775837043.0,1775940732.0,1776295205.0,1772651850.0
Basic Average Shares,1772275079.0,1772000359.0,1771197976.0,1767791555.0
Diluted EPS,9.95,10.38,9.61,9.81
Basic EPS,9.97,10.4,9.64,9.84
Diluted NI Availto Com Stockholders,17676300000.0,18426800000.0,17071500000.0,17392200000.0
Net Income Common Stockholders,17676300000.0,18426800000.0,17071500000.0,17392200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17676300000.0,18426800000.0,17071500000.0,17392200000.0
Minority Interests,272100000.0,313700000.0,58200000.0,-30800000.0
Net Income Including Noncontrolling Interests,17404200000.0,18113100000.0,17013300000.0,17423000000.0
Net Income Continuous Operations,17404200000.0,18113100000.0,17013300000.0,17423000000.0
Tax Provision,5174700000.0,5474300000.0,5173500000.0,5263800000.0
Pretax Income,22578900000.0,23587400000.0,22186800000.0,22686800000.0
Other Non Operating Income Expenses,253200000.0,295700000.0,214800000.0,295200000.0
Special Income Charges,-38500000.0,-167800000.0,155600000.0,-803100000.0
Other Special Charges,38200000.0,167800000.0,-24000000.0,121200000.0
Write Off,300000.0,0.0,-131600000.0,-168100000.0
Net Non Operating Interest Income Expense,2446500000.0,2689200000.0,2828900000.0,2847400000.0
Total Other Finance Cost,166100000.0,140000000.0,91000000.0,64300000.0
Interest Expense Non Operating,1468900000.0,1101800000.0,691400000.0,321700000.0
Interest Income Non Operating,4081500000.0,3931000000.0,3611300000.0,3233400000.0
Operating Income,18839100000.0,20187600000.0,18685100000.0,20146100000.0
Operating Expense,39326100000.0,37464800000.0,32419100000.0,31167800000.0
Other Operating Expenses,7416500000.0,6686000000.0,6518800000.0,5372600000.0
Depreciation And Amortization In Income Statement,4456000000.0,3992100000.0,3109600000.0,2528900000.0
Amortization,1012600000.0,963300000.0,333200000.0,96500000.0
Depreciation Income Statement,3443400000.0,3028800000.0,2776400000.0,2432400000.0
Selling General And Administration,15541100000.0,15216300000.0,11831600000.0,12741100000.0
Selling And Marketing Expense,13355100000.0,12687100000.0,10460000000.0,11490500000.0
General And Administrative Expense,2186000000.0,2529200000.0,1371600000.0,1250600000.0
Rent And Landing Fees,619700000.0,583400000.0,608600000.0,517800000.0
Gross Profit,58165200000.0,57652400000.0,51104200000.0,51313900000.0
Cost Of Revenue,65834900000.0,64964100000.0,63160900000.0,56766400000.0
Total Revenue,124000100000.0,122616500000.0,114265100000.0,108080300000.0
Operating Revenue,124000100000.0,122616500000.0,114265100000.0,108080300000.0
